id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
41645,PK-0012,small_airport,Wateji Airstrip,24.8658,67.4096,149,AS,PK,PK-SD,Wateji,no,,,,,,
18642,K33M,small_airport,Water Valley Municipal Airport,34.16680145263670,-89.68620300292970,270,NA,US,US-MS,Water Valley,no,K33M,,33M,,,
307983,EGUK,closed,Waterbeach Airfield,52.281742,0.184532,19,EU,GB,GB-ENG,Waterbeach,no,,,,,https://en.wikipedia.org/wiki/RAF_Waterbeach,RAF Waterbeach
308225,AQ-0003,closed,González Videla Antarctic Base,-64.824,-62.857,1,AN,AQ,AQ-U-A,Waterboat Point,no,SCGB,,,,https://en.wikipedia.org/wiki/Gonz%C3%A1lez_Videla_Antarctic_Base,
22005,ME90,seaplane_base,Little Ossipee Lake Seaplane Base,43.61309814453130,-70.69640350341800,311,NA,US,US-ME,Waterboro Center,no,ME90,,ME90,,,
8257,1CT3,heliport,St Mary's Heliport,41.55179977416990,-73.03700256347660,300,NA,US,US-CT,Waterbury,no,1CT3,,1CT3,,,
22675,N41,small_airport,Waterbury Airport,41.633399963378900,-73.04679870605470,850,NA,US,US-CT,Waterbury,no,N41,,N41,,,
21373,KWF,seaplane_base,Waterfall Seaplane Base,55.296298980700000,-133.242996216,,NA,US,US-AK,Waterfall,no,KWF,KWF,KWF,,https://en.wikipedia.org/wiki/Waterfall_Seaplane_Base,
9055,25JY,heliport,Heli-Ray Heliport,39.72019958496090,-74.84609985351560,160,NA,US,US-NJ,Waterford,no,25JY,,25JY,,,
2539,EIWF,medium_airport,Waterford Airport,52.187198638916000,-7.0869598388671900,119,EU,IE,IE-WD,Waterford,yes,EIWF,WAT,,http://flywaterford.com/,https://en.wikipedia.org/wiki/Waterford_Airport,
18289,JY30,heliport,Breezy Acres Farm Heliport,39.728599548339800,-74.83660125732420,142,NA,US,US-NJ,Waterford,no,JY30,,JY30,,,
7204,0IA3,small_airport,Hawkeye Airport,42.43470001220700,-92.3280029296875,883,NA,US,US-IA,Waterloo,no,0IA3,,0IA3,,,
7662,10IA,small_airport,Flyers Airport,42.41669845581060,-92.25019836425780,830,NA,US,US-IA,Waterloo,no,10IA,,10IA,,,
9254,29LL,heliport,Monroe County Ambulance Service Heliport,38.33919906616210,-90.1624984741211,630,NA,US,US-IL,Waterloo,no,29LL,,29LL,,,
9431,2IA4,heliport,Cmc At West Ninth Heliport,42.46099853515630,-92.34480285644530,922,NA,US,US-IA,Waterloo,no,2IA4,,2IA4,,,
9749,2SC5,small_airport,Ridgewood Air Airport,34.29169845581060,-82.05390167236330,560,NA,US,US-SC,Waterloo,no,2SC5,,2SC5,,,
10874,3WI2,small_airport,Tesmer Airport,43.152801513671900,-88.9845962524414,925,NA,US,US-WI,Waterloo,no,3WI2,,3WI2,,,
11362,4C2,small_airport,Walker/Rowe Waterloo Airport,41.43119812011720,-84.98159790039060,900,NA,US,US-IN,Waterloo,no,4C2,,4C2,,,
12733,5WI3,small_airport,Der Schwarzwald Airport,43.207801818847700,-89.01709747314450,925,NA,US,US-WI,Waterloo,no,5WI3,,5WI3,,,
17096,D93,small_airport,Airtrek Airport,42.850101470947300,-76.84970092773440,590,NA,US,US-NY,Waterloo,no,D93,,D93,,,
17707,IA29,heliport,Allen Memorial Hospital Heliport,42.52690124511720,-92.339599609375,899,NA,US,US-IA,Waterloo,no,IA29,,IA29,,,
17737,IA60,closed,Iowa Army Natl Guard Heliport,42.556097,-92.399902,866,NA,US,US-IA,Waterloo,no,,,,,,IA60
3375,KALO,medium_airport,Waterloo Regional Airport,42.557098388671900,-92.40029907226560,873,NA,US,US-IA,Waterloo,yes,KALO,ALO,ALO,,https://en.wikipedia.org/wiki/Waterloo_Regional_Airport,
12090,56LL,small_airport,Wade Airport,41.755001068115200,-88.77120208740230,810,NA,US,US-IL,Waterman,no,56LL,,56LL,,,
41279,ZA-0079,small_airport,Bergtop Airport,-22.917943954467800,29.457834243774400,2620,AF,ZA,ZA-NP,Waterpoort,no,,,,,,
13729,72MI,small_airport,Northwoods Airport,46.2859001159668,-89.27749633789060,1642,NA,US,US-MI,Watersmeet,no,72MI,,72MI,,,
11386,4CO1,heliport,Martin Heliport,39.499698638916000,-105.10600280761700,5718,NA,US,US-CO,Waterton,no,4CO1,,4CO1,,,
