picture_name,picture_link
bidalgo_G_acp-asset_SP_DC_converter_v1_16x9_19s_bookLGreenYellowhamburger,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/e794dd6bce5c1761efbb656c7ee1db42.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_16x9_19s_bookLRedBlueiceCream,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/ab17d83ebbf782d04ab6cf31a223dc92.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_16x9_19s_houseLBluePurplelego,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/c370d623081768fe3054407298e0d2e6.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_16x9_19s_houseLGreenYellowstone,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/96b24578ea0aeb4ad507c70db6ee5eb0.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_16x9_19s_logoLRedBluebanana,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/a581cb99d0e06d51c7f79af203e06bc2.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_16x9_19s_sushiLBluePurplestone,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/3db9e2eb06dba6ba228a2292c0b2f6c5.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_16x9_19s_sushiLGreenYellowstar,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/97fb992df50ccdc9d11ce3f0586fd84b.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_16x9_19s_sushiLRedBluehamburger,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/e858df79acc51b994cb46c01483eab4e.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_4x5_19s_bookSRedBlueiceCream.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/d888aef9276440a8a7ece5886d93f179.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_4x5_19s_bookSGreenYellowhamburger.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/017b3fbd18aed7f321b34b2c16772ecd.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_4x5_19s_houseLBluePurplelego.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/31dfcc5d0275a60157d26b7f1c767c3f.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_4x5_19s_logoPRedBluebanana.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/86995499d4e957d71040220b50954dba.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_4x5_19s_houseLGreenYellowstone.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/0d95e233ccf5c6bf603aa327fb3fa103.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_4x5_19s_sushiLBluePurplestone.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/7ff47c2d64f2e4bec8c645cf807eccc9.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_4x5_19s_sushiLGreenYellowstar.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/0287557a10bf285ef33e403deedc79f1.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_4x5_19s_sushiLRedBluehamburger.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/89921b651b0a49f4ea8e7efa98e055ab.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_1x1_19s_logoLRedBluebanana.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/a5d8a2fdeba5ddbb45b2bff739d06806.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_1x1_19s_houseLGreenYellowstone.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/cf5bcbf3719532d1032dc06540f7d166.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_1x1_19s_bookSRedBlueiceCream.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/9b4c23b881e47c783f93d000609bc0e4.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_1x1_19s_houseLBluePurplelego.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/3f14e4129ff5fbc4e0bbf8130055e4de.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_1x1_19s_bookSGreenYellowhamburger.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/6257afe0ea82dd875ad50f2b11fcfe38.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_1x1_19s_sushiLBluePurplestone.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/0f7f82cad70c3e7972724f3208fb840a.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_1x1_19s_sushiLGreenYellowstar.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/54aec57a55becbaa2883abc3f104d345.mp4
bidalgo_G_acp-asset_SP_DC_converter_v1_1x1_19s_sushiLRedBluehamburger.mp4,https://boka-dev-assets.s3.eu-west-1.amazonaws.com/0a48496d7cc8b051a985d354ca68f963.mp4
