"Campaign Status",Channel,"Campaign ID","Campaign Name","Delivery Status",User,"Media Spend ($)",Impressions,"All Clicks",CTR,"CPC ($)","Installs ","Desktop App Install FB","Channel Installs",CR,"CPI ($)",Payers,"CPA ($)",Transactions,"Revenue ($)",ROAS,"GoAlgo - Campaign","FB Account","Campaign Lifetime Budget ($)"
Active,Facebook,23845170591270608,"CONACQ_2020-07-18 US | Android | VO | Auto | 1D | Auto | 10% Clusters Stack | Video Test #9",0,bidalgo_Social_point,140.4199981689453,8391,12,0.001430103682517,11.701666514079,4,0,9,0.33333333333333,35.104999542236,1,140.41999816895,47,68.93,0.49088449579003,0.00,"DC Consumer Acq Android",0
Paused,Facebook,23845165840360608,"CONACQ_2020-07-17 IN | Android | MAI | Auto | 1D | FB Feed Only | Broadreach | Video Test #9",0,bidalgo_Social_point,157.00999450683594,228749,1196,0.0052284381571067,0.1312792596211,225,0,361,0.188127090301,0.69782219780816,0,0,13,0.02,0.00012738042608574,0.00,"DC Consumer Acq Android",0
Paused,Facebook,23845165835340608,"CONACQ_2020-07-17 IN | Android | MAI | Auto | 1D | FB Feed Only | Broadreach | Video Test #10",0,bidalgo_Social_point,159.13999938964844,192627,1123,0.0058299200008306,0.14170970560076,164,0,247,0.14603739982191,0.97036584993688,0,0,12,0.01,6.2837753162958E-5,0.00,"DC Consumer Acq Android",0
Active,Google,10595931312,WL_Android_MaxConversions_2020-07-17,1,bidalgo_Social_point,464.6199951171875,49098,886,0.018045541569921,0.524401800358,243,0,236,0.27426636568849,1.9120164408115,0,0,576,28.12,0.060522578226336,0.00,"Word Life",0
Active,Google,10594085956,WL_iOS_US_MaxConversions_2020-07-17,1,bidalgo_Social_point,112.2699966430664,9957,180,0.018077734257306,0.62372220357259,44,0,45,0.24444444444444,2.551590832797,0,0,148,8,0.071256793793572,0.00,"Word Life",0
Active,Facebook,23845132955090644,Adquant_WL_iOS_MAI_US_MaxBid_2020-07-17,0,bidalgo_Social_point,51.93000030517578,4207,40,0.0095079629189446,1.2982500076294,15,0,16,0.375,3.4620000203451,0,0,28,1.9400000000000002,0.037357981679169,0.00,"Word Life IOS",0
Paused,Facebook,23845160804580608,"CONACQ_2020-07-16 US | Android | VO | Auto | 1D | All | 10% Clusters | Static Image Test #1",0,bidalgo_Social_point,250.32000732421875,19930,30,0.0015052684395384,8.3440002441406,2,0,6,0.066666666666667,125.16000366211,0,0,0,0,0,0.00,"DC Consumer Acq Android",0
Active,"Additional Channels",38261,"EMEA - Word Life Crossword Puzzle iOS (old)",0,N/A,0,0,0,0,0,82,0,0,0,0,3,0,304,26.919999999999995,0,0.00,"Social point adcolony",0
Active,"Additional Channels",49036,"EMEA - Word Life Crossword Puzzle iOS ",0,N/A,346.6600036621094,35136,27749,0.78975979052823,0.0124927025717,0,0,82,0,0,0,0,0,0,0,0.00,"Social point adcolony",0
Active,"Additional Channels",11969,"Monster Legends Android EMEA",0,N/A,0,5,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0.00,"Social point adcolony",0
Active,"Additional Channels",5015,"Monster Legends iOS",0,N/A,413.6700134277344,47522,35672,0.75064180800471,0.011596490620872,318,0,177,0.0089145548329222,1.3008490988294,6,68.945002237956,20,46.17,0.11161070056161,0.00,"Social point adcolony",0
Active,"Additional Channels",5ece1adb7acee200159296a0,ML_iOS_CA_2020_RON,0,N/A,206.39999389648438,16803,12375,0.7364756293519,0.016678787385574,0,0,113,0,0,0,0,0,0,0,0.00,"Social point vungle",0
Active,"Additional Channels",5ee0dfad20275b001690a520,ML_iOS_UK_2020_RON,0,N/A,310.79998779296875,25165,17781,0.70657659447646,0.017479331184577,244,0,248,0.013722512794556,1.2737704417745,4,77.699996948242,13,18.71,0.06019948756389,0.00,"Social point vungle",0
Active,"Additional Channels",5ef2da1e7c5bc40015f75c6e,ML_iOS_FR_2020_RON,0,N/A,170.3000030517578,35079,22326,0.63644915761567,0.0076278779473151,0,0,142,0,0,0,0,0,0,0,0.00,"Social point vungle",0
Active,"Additional Channels",5e751e2496ffa61c69d7d1a7,ML_iOS_US_2020_WL_High,0,N/A,17,692,376,0.54335260115607,0.045212765957447,0,0,6,0,0,0,0,0,0,0,0.00,"Social point vungle",0
Active,"Additional Channels",5e1f29955119200016ed513d,ML_iOS_US_2020_RON_LOW,0,N/A,2423.949951171875,88048,66402,0.75415682355079,0.036504170825756,0,0,897,0,0,0,0,0,0,0,0.00,"Social point vungle",0
Active,"Additional Channels",5ee2489183ba7500162f1391,ML_iOS_AU_2020_RON,0,N/A,288.20001220703125,24036,17753,0.73860043268431,0.01623387665223,0,0,173,0,0,0,0,0,0,0,0.00,"Social point vungle",0
Active,"Additional Channels",982754da7aeb0adbfe8f9a9237f787aa,ML_iOS_UK_2020_RON,0,N/A,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.00,"Social point vungle",0
Active,"Additional Channels",5ef21b74f4c73c0015e39023,ML_AND_US_2020_RON,0,N/A,141.60000610351562,10468,6182,0.59056171188384,0.022905209657638,101,0,101,0.016337754771918,1.4019802584506,0,0,3,0.04,0.00028248586352997,0.00,"Social point vungle",0
Active,"Additional Channels",5ef2c0a2ba72eb001577c801,ML_iOS_DE_2020_RON,0,N/A,217.25,21588,15292,0.70835649434871,0.014206774784201,106,0,106,0.006931729008632,2.0495283018868,0,0,4,0.06,0.00027617951668585,0.00,"Social point vungle",0
Active,"Additional Channels",5ec547bdc3912a0016e29955,DC_iOS_US_BL,0,N/A,80.80000305175781,4125,2369,0.57430303030303,0.034107219523747,54,0,54,0.022794428028704,1.4962963528103,1,80.800003051758,21,10.18,0.12599009425135,0.00,"Social point vungle",0
Active,"Additional Channels",5e752070c6aa991c4f0d71a1,DC_iOS_US_Banners,0,N/A,0,4482,17,0.0037929495760821,0,0,0,0,0,0,0,0,0,0,0,0.00,"Social point vungle",0
Active,"Additional Channels",5e6aef1d96ffa61c69d7b19d,DC_iOS_UK_Creatives_Test,0,N/A,0,6,2,0.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0.00,"Social point vungle",0
Active,"Additional Channels",5e8f299764c56d0010b59d3f,DC_iOS_US_Playables,0,N/A,0,11,4,0.36363636363636,0,0,0,0,0,0,0,0,0,0,0,0.00,"Social point vungle",0
Active,"Additional Channels",5f0357acd78cfa00173fa2c6,DC_iOS_US_ExplorationTest_WL,0,N/A,502.5,23774,9751,0.41015394969294,0.051533176084504,124,0,124,0.012716644446723,4.0524193548387,3,167.5,77,8.18,0.016278606965174,0.00,"Social point vungle",0
