Date,Campaign,Campaign Name,Impressions,CVVs,Classic Clicks,Info Clicks,Download Clicks,HTML5 Interactions,Total Clicks,CTR (%),Spend ($),Avg Spend ($),eCPI ($),Installs,InstallRate (%)
07/18/2020 - 07/18/2020,1782,Dragon City Canada,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,4999,Dragon City iOS,197116,145686,121010,52602,68408,3062,126397,64.12315590819618,1479.16,1479.16,1.3277917,1114,0.5651494551431644
07/18/2020 - 07/18/2020,5002,Dragon City Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,5015,Monster Legends iOS,107261,66927,61683,23027,38656,6646,68932,64.26566972152041,731.67,731.67,2.1456598,341,0.3179161111680853
07/18/2020 - 07/18/2020,5768,Monster Legends Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,7505,Jurassic Hunter,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,11679,Dragon City Android EMEA,2,0,0,0,0,0,0,0,0,0,0,0,0
07/18/2020 - 07/18/2020,11969,Monster Legends Android EMEA,6,3,1,1,0,2,3,50,0,0,0,0,0
07/18/2020 - 07/18/2020,12467,Dragon Stadium iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,12766,World Chef Android,1,0,0,0,0,0,0,0,0,0,0,0,0
07/18/2020 - 07/18/2020,12864,World Chef iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,13451,Dragon Land iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,13825,Dragon Land Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,14909,Dragon Stadium Android EMEA,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,25572,League of Dragons iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,25575,League of Dragons Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,28845,Monster Legends iOS - Granular Pricing Test,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,28846,Monster Legends Android - Granular Pricing Test,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,31151,EMEA - Champions Destiny iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,31412,EMEA - Tasty Town Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,31625,EMEA - Champions Destiny Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,32027,EMEA - Tasty Town iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,32778,EMEA - Cross Install - Dragon City iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,32780,EMEA - Cross Install - Dragon City Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,36084,EMEA - Dragon City Match iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,36085,EMEA - Dragon City Match Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,36525,EMEA - Word Travel iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,36922,EMEA - Monster Legends Amazon,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,37070,EMEA - Monsters and Puzzles iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,37157,EMEA - Legends at War iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,38236,EMEA - Toy Match Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,38261,EMEA - Word Life Crossword Puzzle iOS (old),,,,,,,,,,,,,
07/18/2020 - 07/18/2020,38285, Legends at War Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,39359,Dog Home iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,39853,Heroes and Puzzles iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,39910,Tasty Town iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,39994,Swords & Puzzles iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,42791,Word Life Crossword Puzzle Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,46830,Puzzle Life US iOS,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,49036,EMEA - Word Life Crossword Puzzle iOS ,35136,30646,25702,4214,21488,1788,27749,78.97597905282332,346.66,346.66,4.2275609,82,0.23337887067395263
07/18/2020 - 07/18/2020,49126,Dragon City Android,,,,,,,,,,,,,
07/18/2020 - 07/18/2020,49195,Dragon City Android,143415,100697,90778,27404,63374,675,92718,64.6501411986194,628.73,628.73,0.9598931,655,0.4567165219816616
07/18/2020 - 07/18/2020,50415,EMEA - Words and Animals iOS,30443,26632,9868,5507,4361,132,10144,33.321288966264824,72,72,4,18,0.05912689288177906
